I, [2020-11-15T23:51:46.728103 #959830]  INFO -- Kitchen: -----> Starting Kitchen (v1.25.0)
E, [2020-11-15T23:51:46.728347 #959830] ERROR -- Kitchen: ------Exception-------
E, [2020-11-15T23:51:46.728371 #959830] ERROR -- Kitchen: Class: Kitchen::UserError
E, [2020-11-15T23:51:46.728385 #959830] ERROR -- Kitchen: Message: Kitchen YAML file /home/gareth/Code/ge-contino/ansible-playbook-windows-server-pre-2019/kitchen.yml does not exist.
E, [2020-11-15T23:51:46.728401 #959830] ERROR -- Kitchen: ----------------------
E, [2020-11-15T23:51:46.728416 #959830] ERROR -- Kitchen: ------Backtrace-------
E, [2020-11-15T23:51:46.728427 #959830] ERROR -- Kitchen: /usr/share/gems/gems/test-kitchen-1.25.0/lib/kitchen/loader/yaml.rb:65:in `read'
E, [2020-11-15T23:51:46.728438 #959830] ERROR -- Kitchen: /usr/share/gems/gems/test-kitchen-1.25.0/lib/kitchen/config.rb:152:in `data'
E, [2020-11-15T23:51:46.728452 #959830] ERROR -- Kitchen: /usr/share/gems/gems/test-kitchen-1.25.0/lib/kitchen/config.rb:131:in `suites'
E, [2020-11-15T23:51:46.728461 #959830] ERROR -- Kitchen: /usr/share/gems/gems/test-kitchen-1.25.0/lib/kitchen/config.rb:182:in `filter_instances'
E, [2020-11-15T23:51:46.728471 #959830] ERROR -- Kitchen: /usr/share/gems/gems/test-kitchen-1.25.0/lib/kitchen/config.rb:141:in `build_instances'
E, [2020-11-15T23:51:46.728480 #959830] ERROR -- Kitchen: /usr/share/gems/gems/test-kitchen-1.25.0/lib/kitchen/config.rb:117:in `instances'
E, [2020-11-15T23:51:46.728489 #959830] ERROR -- Kitchen: /usr/share/gems/gems/test-kitchen-1.25.0/lib/kitchen/command.rb:112:in `filtered_instances'
E, [2020-11-15T23:51:46.728499 #959830] ERROR -- Kitchen: /usr/share/gems/gems/test-kitchen-1.25.0/lib/kitchen/command.rb:142:in `parse_subcommand'
E, [2020-11-15T23:51:46.728508 #959830] ERROR -- Kitchen: /usr/share/gems/gems/test-kitchen-1.25.0/lib/kitchen/command/action.rb:35:in `block in call'
E, [2020-11-15T23:51:46.728523 #959830] ERROR -- Kitchen: /usr/share/ruby/benchmark.rb:293:in `measure'
E, [2020-11-15T23:51:46.728533 #959830] ERROR -- Kitchen: /usr/share/gems/gems/test-kitchen-1.25.0/lib/kitchen/command/action.rb:34:in `call'
E, [2020-11-15T23:51:46.728542 #959830] ERROR -- Kitchen: /usr/share/gems/gems/test-kitchen-1.25.0/lib/kitchen/cli.rb:52:in `perform'
E, [2020-11-15T23:51:46.728551 #959830] ERROR -- Kitchen: /usr/share/gems/gems/test-kitchen-1.25.0/lib/kitchen/cli.rb:198:in `block (2 levels) in <class:CLI>'
E, [2020-11-15T23:51:46.728561 #959830] ERROR -- Kitchen: /usr/share/gems/gems/thor-0.20.3/lib/thor/command.rb:27:in `run'
E, [2020-11-15T23:51:46.728570 #959830] ERROR -- Kitchen: /usr/share/gems/gems/thor-0.20.3/lib/thor/invocation.rb:126:in `invoke_command'
E, [2020-11-15T23:51:46.728579 #959830] ERROR -- Kitchen: /usr/share/gems/gems/thor-0.20.3/lib/thor.rb:387:in `dispatch'
E, [2020-11-15T23:51:46.728589 #959830] ERROR -- Kitchen: /usr/share/gems/gems/thor-0.20.3/lib/thor/base.rb:466:in `start'
E, [2020-11-15T23:51:46.728604 #959830] ERROR -- Kitchen: /usr/share/gems/gems/test-kitchen-1.25.0/bin/kitchen:13:in `block in <top (required)>'
E, [2020-11-15T23:51:46.728615 #959830] ERROR -- Kitchen: /usr/share/gems/gems/test-kitchen-1.25.0/lib/kitchen/errors.rb:171:in `with_friendly_errors'
E, [2020-11-15T23:51:46.728633 #959830] ERROR -- Kitchen: /usr/share/gems/gems/test-kitchen-1.25.0/bin/kitchen:13:in `<top (required)>'
E, [2020-11-15T23:51:46.728642 #959830] ERROR -- Kitchen: /usr/bin/kitchen:23:in `load'
E, [2020-11-15T23:51:46.728651 #959830] ERROR -- Kitchen: /usr/bin/kitchen:23:in `<main>'
E, [2020-11-15T23:51:46.728660 #959830] ERROR -- Kitchen: ----End Backtrace-----
